                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0746,                0.98933,                 1.4184,                0.73213,                0.81429,                 0.8262,                0.64511,                0.81295,                0.71403,                 1.2154,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.0515,                0.96877,                 1.4046,                 0.9387,                0.79203,                 0.8184,                0.63246,                0.85948,                0.65964,                 1.2386,             0.00073704,             0.00073704,             0.00073704
                     37,                  1.074,                 1.0103,                 1.4191,                0.74916,                0.82283,                0.80936,                 0.6419,                0.79597,                0.71588,                  1.204,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.0404,                0.97858,                 1.3966,                0.77261,                0.85139,                0.83762,                0.64602,                0.86173,                0.69677,                 1.2396,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.0419,                 1.0075,                 1.3984,                0.83012,                0.81936,                0.83575,                0.65021,                 0.8344,                0.64165,                 1.2124,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.0431,                 1.0077,                 1.4165,                0.81023,                0.79611,                0.83006,                 0.6541,                 0.8012,                0.65319,                 1.1975,             0.00069304,             0.00069304,             0.00069304
                     41,                  1.024,                0.98568,                 1.3927,                0.90382,                0.82857,                0.84619,                0.65525,                0.82775,                0.62997,                 1.2126,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.0216,                0.96206,                 1.3928,                0.85514,                0.82677,                0.84022,                0.64717,                0.87682,                0.68573,                 1.2323,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.0078,                 1.0136,                  1.383,                 0.7791,                0.82857,                0.83063,                0.63831,                0.84527,                 0.6749,                 1.2305,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.0111,                0.96364,                 1.3856,                 0.7991,                0.89595,                0.85007,                0.67065,                0.82443,                0.59134,                 1.2142,             0.00064905,             0.00064905,             0.00064905
                     45,                0.98758,                 0.9098,                 1.3597,                0.86285,                0.84921,                0.86137,                0.68717,                0.78057,                0.60071,                 1.1684,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.0019,                0.91943,                 1.3658,                0.79502,                0.85442,                0.84884,                0.68164,                0.79512,                0.61506,                 1.1798,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.0084,                 0.9235,                 1.3663,                0.81746,                0.79318,                0.84228,                0.66411,                0.81537,                0.60546,                 1.2008,             0.00061605,             0.00061605,             0.00061605
                     48,                0.97972,                0.87873,                 1.3438,                0.92303,                0.79643,                0.84948,                0.66832,                0.82463,                0.67683,                    1.2,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.0004,                0.91875,                  1.361,                0.86834,                0.86826,                0.87808,                0.68421,                 0.8326,                0.56211,                 1.2174,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.0001,                0.92506,                 1.3625,                0.91982,                0.87143,                0.88159,                0.70609,                0.78498,                0.53727,                 1.1701,             0.00058305,             0.00058305,             0.00058305
                     51,                0.99941,                0.88927,                 1.3556,                0.92118,                0.84286,                0.87255,                0.69671,                0.79316,                0.57277,                 1.1803,             0.00057205,             0.00057205,             0.00057205
                     52,                0.98124,                0.90347,                 1.3522,                0.89342,                0.83272,                0.84673,                0.68364,                0.79029,                0.57315,                 1.1819,             0.00056105,             0.00056105,             0.00056105
                     53,                0.97418,                0.83423,                 1.3251,                0.87748,                0.83811,                 0.8716,                0.67296,                0.86948,                0.61114,                  1.233,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.0117,                0.86754,                  1.366,                0.89626,                0.88571,                0.90541,                0.68428,                0.89974,                0.55999,                 1.2418,             0.00053906,             0.00053906,             0.00053906
                     55,                0.98981,                0.87695,                 1.3552,                 0.9392,                0.84397,                0.87756,                0.68198,                0.87575,                0.55497,                 1.2363,             0.00052806,             0.00052806,             0.00052806
                     56,                0.93826,                0.85061,                 1.3179,                0.87068,                0.87972,                0.91257,                0.73353,                0.78168,                0.51365,                 1.1703,             0.00051706,             0.00051706,             0.00051706
                     57,                0.95918,                0.86106,                 1.3187,                0.95198,                0.84212,                0.87389,                0.69948,                0.79996,                0.53207,                 1.1798,             0.00050606,             0.00050606,             0.00050606
                     58,                0.94924,                0.83928,                 1.3194,                0.87669,                 0.8546,                0.85703,                 0.6843,                0.80673,                0.59262,                  1.182,             0.00049506,             0.00049506,             0.00049506
